fund,year,dnb_reporter,premium_employee,premium_employer,total_premium,active_participants,deferred_participants,pensioners,total_participants,active_ratio,deferred_ratio,pensioner_ratio,dependency_ratio_pensioners_to_active,participant_growth,active_participant_growth,total_premium_growth,premium_per_active_participant_thousand_eur,premium_per_total_participant_thousand_eur,source_type,notes
ABN AMRO Bank,2014,ABN AMRO Bank,68682.0,997400.0,1066082.0,20423.0,43173.0,24608.0,88204.0,0.2315427871751848,0.4894675978413677,0.2789896149834475,1.2049160260490623,,,,52.20006855016403,12.086549362840689,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABN AMRO Bank,2015,ABN AMRO Bank,44821.0,282213.0,327034.0,19791.0,42506.0,25627.0,87924.0,0.2250921250170602,0.4834402438469587,0.291467631135981,1.294881511798292,-0.0031744592081991,-0.0309455026195955,-0.6932374807941604,16.524379768581678,3.719507756698967,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABN AMRO Bank,2016,ABN AMRO Bank,44649.0,309369.0,354018.0,19171.0,43212.0,26023.0,88406.0,0.2168517973893174,0.4887903535959098,0.2943578490147727,1.357414845339315,0.0054820071880259,-0.0313273710272345,0.08251129851942,18.46632935162485,4.004456711082958,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABN AMRO Bank,2017,ABN AMRO Bank,56088.0,325218.0,381306.0,18151.0,44041.0,26612.0,88804.0,0.2043939462186388,0.4959348677987478,0.2996711859826134,1.4661451159715717,0.0045019568807547,-0.0532053622659225,0.0770808263986577,21.00743760674343,4.293793072384127,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABN AMRO Bank,2018,ABN AMRO Bank,42087.0,306691.0,348778.0,17169.0,44695.0,26854.0,88718.0,0.1935232985414459,0.5037872810478145,0.3026894204107396,1.564098083755606,-0.0009684248457276,-0.0541017023855434,-0.0853068139499509,20.31440386743549,3.931310444329223,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABN AMRO Bank,2019,ABN AMRO Bank,42494.0,316494.0,358988.0,17335.0,44857.0,27227.0,89419.0,0.1938626019078719,0.501649537570315,0.304487860521813,1.5706374387078166,0.0079014405193984,0.0096685887355116,0.0292736353783782,20.70885491779637,4.014672496896632,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABN AMRO Bank,2020,ABN AMRO Bank,44854.0,290508.0,335362.0,18339.0,44385.0,27816.0,90540.0,0.2025513585155732,0.4902253147779987,0.3072233267064281,1.5167675445771307,0.0125364855343943,0.0579175079319296,-0.0658127848284622,18.28682043731937,3.704020322509388,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABN AMRO Bank,2021,ABN AMRO Bank,48772.0,282144.0,330916.0,19196.0,44228.0,28681.0,92105.0,0.2084143097551707,0.4801910862602465,0.3113946039845828,1.4941133569493643,0.0172851778219571,0.0467310104149627,-0.0132573159749762,17.238799749947905,3.5928125508930027,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABN AMRO Bank,2022,ABN AMRO Bank,50886.0,295796.0,346682.0,19397.0,44483.0,29491.0,93371.0,0.2077411616026389,0.4764113054374485,0.3158475329599126,1.5203897509924216,0.0137451821290917,0.0104709314440507,0.0476435107398856,17.87297004691447,3.712951558835184,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABN AMRO Bank,2023,ABN AMRO Bank,54114.0,316112.0,370226.0,20087.0,43081.0,30280.0,93448.0,0.214953771081243,0.4610157520760209,0.324030476842736,1.5074426245830637,0.0008246671878848,0.0355725112130742,0.0679123807985415,18.431124607955397,3.961839739748309,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABN AMRO Bank,2024,ABN AMRO Bank,58905.0,347444.0,406349.0,21136.0,42113.0,31258.0,94507.0,0.2236448093791994,0.4456072036991969,0.3307479869216037,1.4788985616956851,0.0113325057786148,0.0522228306865135,0.0975701328377802,19.225444738834216,4.299670923846911,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABP,2014,ABP,2736000.0,5886000.0,8622000.0,1092337.0,927148.0,816746.0,2836231.0,0.3851368241867464,0.3268943890677452,0.2879687867455084,0.7477051496012678,,,,7.893168500197284,3.039949848936846,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABP,2015,ABP,2322000.0,5354000.0,7676000.0,1080490.0,941586.0,834529.0,2856605.0,0.3782427041890636,0.3296171504285681,0.2921401453823682,0.7723616137122972,0.007183476945284,-0.0108455540735139,-0.1097193226629552,7.104184212718304,2.687105847675825,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABP,2016,ABP,2102000.0,5726000.0,7828000.0,1104792.0,933126.0,850385.0,2888303.0,0.3825055750729754,0.3230706750642159,0.2944237498628087,0.7697240747579635,0.0110963888952095,0.0224916473081657,0.0198019801980198,7.085496636470937,2.710241965610949,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABP,2017,ABP,2472245.0,6745325.0,9217570.0,1111106.0,946097.0,868454.0,2925657.0,0.3797799947157168,0.3233793298394172,0.2968406754448658,0.7816121954160989,0.0129328536514348,0.0057151029334028,0.1775127746550844,8.29585116091534,3.1505983100548014,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABP,2018,ABP,2701594.0,7238280.0,9939874.0,1128671.0,952476.0,886529.0,2967676.0,0.3803215040995041,0.3209501306746424,0.2987283652258535,0.7854627256304095,0.0143622441044866,0.0158085727194345,0.0783616506302637,8.806706294394026,3.3493797840465063,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABP,2019,ABP,3047552.0,7887087.0,10934639.0,1150592.0,954702.0,910741.0,3016035.0,0.3814915940962223,0.3165420825686704,0.3019663233351072,0.7915412239959951,0.016295242472561,0.0194219573285749,0.1000782303679101,9.503489508009787,3.6255013618873786,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABP,2020,ABP,3255039.0,8330822.0,11585861.0,1178215.0,930241.0,943318.0,3051774.0,0.3860754433323044,0.3048197540184824,0.3091048026492132,0.80063316118026,0.011849663548334,0.0240076412837912,0.0595558755986365,9.833401374112537,3.796434794974988,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABP,2021,ABP,3632133.0,9103369.0,12735502.0,1203358.0,940146.0,974772.0,3118276.0,0.3859049038635451,0.3014954417120229,0.3125996544244319,0.8100432290307622,0.0217912597721849,0.0213399082510408,0.0992279296290539,10.583302724542488,4.0841484204733645,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABP,2022,ABP,3758493.0,9234783.0,12993276.0,1232782.0,783397.0,997317.0,3013496.0,0.4090869873396215,0.2599628471383403,0.3309501655220382,0.8089970489510716,-0.0336019005373482,0.0244515763388784,0.0202405841560073,10.539800224208337,4.311695120882855,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABP,2023,ABP,4409235.0,10288215.0,14697449.0,1269305.0,782364.0,1023210.0,3074879.0,0.4127983572686925,0.2544373290786402,0.3327643136526673,0.8061183088383013,0.0203693650165788,0.0296264870836855,0.1311580697585428,11.579131099302376,4.77984629639085,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
ABP,2024,ABP,4687983.0,10938626.0,15626609.0,1306248.0,781978.0,1051433.0,3139659.0,0.4160477300241841,0.2490646277191249,0.3348876422566909,0.8049260171116052,0.021067495664057,0.0291049038647133,0.0632191341504229,11.96297257488624,4.977167584122989,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AHOLD,2014,AHOLD,16568.0,113923.0,130491.0,35990.0,35170.0,11969.0,83129.0,0.4329415727363495,0.4230773857498586,0.1439810415137918,0.3325646012781328,,,,3.6257571547652128,1.569741004944123,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AHOLD,2015,AHOLD,19079.0,112475.0,131554.0,37597.0,36265.0,11066.0,84928.0,0.4426926337603617,0.4270087603617181,0.1302986058779201,0.2943319945740351,0.021641063888655,0.0446512920255626,0.0081461556735713,3.4990557757267866,1.5490062170308967,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AHOLD,2016,AHOLD,22382.0,112926.0,135308.0,37468.0,36571.0,11320.0,85359.0,0.4389460982438876,0.4284375402710903,0.1326163614850221,0.3021244795558876,0.0050748869630745,-0.0034311248237891,0.0285358103896498,3.611294971709192,1.58516383743952,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AHOLD,2017,AHOLD,22171.0,135249.0,157420.0,37454.0,37875.0,11348.0,86677.0,0.4321100176517415,0.4369671308420919,0.1309228515061665,0.3029849949271105,0.0154406682365069,-0.0003736521831962,0.163419753451385,4.203022374112244,1.8161680722683065,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AHOLD,2018,AHOLD,21659.0,99553.0,121212.0,36366.0,38853.0,11596.0,86815.0,0.418890744686978,0.4475378678799747,0.1335713874330472,0.3188692734972226,0.0015921178628701,-0.0290489667325252,-0.2300088934061745,3.333113347632404,1.396210332315844,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AHOLD,2019,AHOLD,22766.0,100059.0,122825.0,35363.0,42770.0,11867.0,90000.0,0.3929222222222222,0.4752222222222222,0.1318555555555555,0.3355767327432627,0.0366872084317226,-0.0275807072540285,0.0133072633072632,3.4732630150156942,1.3647222222222222,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AHOLD,2020,AHOLD,25037.0,228916.0,253953.0,36282.0,39949.0,12300.0,88531.0,0.4098225480340219,0.4512430674001197,0.1389343845658583,0.3390110798743178,-0.0163222222222222,0.0259876141730057,1.0676002442499493,6.999421200595337,2.868520631191334,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AHOLD,2021,AHOLD,29833.0,129617.0,159450.0,37796.0,33461.0,12817.0,84074.0,0.4495563432214478,0.3979946237838095,0.1524490329947427,0.3391099587257911,-0.0503439473178886,0.0417286808885948,-0.3721279134328006,4.218700391575828,1.8965435211837192,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AHOLD,2022,AHOLD,32931.0,143566.0,176497.0,39159.0,34986.0,13136.0,87281.0,0.4486543463067563,0.4008432533999381,0.1505024002933055,0.3354528971628489,0.0381449675286058,0.0360620171446715,0.1069112574474757,4.507188641180827,2.022169773490221,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AHOLD,2023,AHOLD,27857.0,157338.0,185195.0,41220.0,39770.0,13390.0,94380.0,0.4367450731087094,0.4213816486543759,0.1418732782369146,0.3248423095584667,0.0813349984532716,0.0526315789473683,0.0492812909001285,4.492843279961184,1.9622271667726208,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AHOLD,2024,AHOLD,30172.0,181845.0,212017.0,61885.0,51743.0,13875.0,127503.0,0.4853611287577547,0.4058179023238669,0.1088209689183783,0.2242061888987638,0.3509535918626827,0.5013343037360505,0.1448311239504305,3.4259836794053484,1.6628393057418256,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
APF,2014,APF,800.0,60900.0,61700.0,5800.0,12450.0,18172.0,36422.0,0.1592444127175882,0.3418263686782714,0.4989292186041403,3.133103448275862,,,,10.637931034482758,1.6940310801164131,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
APF,2015,APF,7700.0,47300.0,55000.0,5665.0,11981.0,18001.0,35647.0,0.1589194041574326,0.3361012146884731,0.5049793811540944,3.1775816416593115,-0.021278348251057,-0.0232758620689654,-0.1085899513776337,9.70873786407767,1.542906836479928,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
APF,2016,APF,900.0,78300.0,79200.0,5693.0,11588.0,17757.0,35038.0,0.1624807352017809,0.3307266396483818,0.5067926251498374,3.119093623748463,-0.0170841866075686,0.0049426301853485,0.4399999999999999,13.91182153521869,2.260402991038301,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
APF,2017,APF,800.0,75100.0,75900.0,5600.0,11106.0,17532.0,34238.0,0.1635609556632981,0.3243764238565337,0.5120626204801683,3.130714285714286,-0.0228323534448313,-0.0163358510451431,-0.0416666666666666,13.553571428571429,2.216835095507915,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
APF,2018,APF,700.0,73200.0,73900.0,5475.0,10734.0,17287.0,33496.0,0.1634523525197038,0.320456173871507,0.5160914736087892,3.1574429223744294,-0.021671826625387,-0.0223214285714286,-0.0263504611330698,13.497716894977168,2.2062335801289708,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
APF,2019,APF,14800.0,64300.0,79100.0,5390.0,10456.0,16996.0,32842.0,0.1641191157663966,0.3183728152974849,0.5175080689361183,3.153246753246753,-0.0195247193694769,-0.0155251141552511,0.0703653585926928,14.675324675324676,2.4085013092990684,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
APF,2020,APF,14200.0,61900.0,76100.0,5151.0,10304.0,16676.0,32131.0,0.1603124708225701,0.3206871868289191,0.5190003423485108,3.237429625315473,-0.0216491078497046,-0.0443413729128014,-0.0379266750948167,14.773830324208893,2.3684292427873395,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
APF,2021,APF,17700.0,62700.0,80400.0,5102.0,9187.0,16395.0,30684.0,0.1662755833659236,0.299406856993873,0.5343175596402033,3.2134457075656604,-0.0450343904640379,-0.00951271597748,0.0565045992115638,15.758526068208546,2.6202581149784905,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
APF,2022,APF,20100.0,64100.0,84200.0,5072.0,9259.0,16040.0,30371.0,0.167001415824306,0.3048631918606565,0.5281353923150374,3.162460567823344,-0.0102007560943814,-0.0058800470403763,0.0472636815920397,16.600946372239747,2.772381548187416,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
APF,2023,APF,11400.0,72000.0,83400.0,5019.0,9186.0,15719.0,29924.0,0.1677249030878224,0.306977676781179,0.5252974201309986,3.13189878461845,-0.0147179875539165,-0.0104495268138801,-0.009501187648456,16.61685594739988,2.787060553401952,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
APF,2024,APF,12900.0,74600.0,87500.0,5041.0,9074.0,15451.0,29566.0,0.1704998985320976,0.3069065818845972,0.5225935195833051,3.0650664550684388,-0.0119636412244352,0.0043833432954771,0.0491606714628296,17.35766712953779,2.959480484340121,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AT&T Nederland,2014,AT&T Nederland,,,,,451.0,60.0,511.0,,0.8825831702544031,0.1174168297455968,,,,,,,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AT&T Nederland,2015,AT&T Nederland,,,,,447.0,64.0,511.0,,0.8747553816046967,0.1252446183953033,,0.0,,,,,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AT&T Nederland,2016,AT&T Nederland,,,,,439.0,65.0,504.0,,0.871031746031746,0.1289682539682539,,-0.0136986301369863,,,,,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AT&T Nederland,2017,AT&T Nederland,,,,,429.0,75.0,504.0,,0.8511904761904762,0.1488095238095238,,0.0,,,,,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AT&T Nederland,2018,AT&T Nederland,,,,,424.0,80.0,504.0,,0.8412698412698413,0.1587301587301587,,0.0,,,,,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AT&T Nederland,2019,AT&T Nederland,,,,,411.0,91.0,502.0,,0.8187250996015937,0.1812749003984063,,-0.0039682539682539,,,,,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AT&T Nederland,2020,AT&T Nederland,,,,,404.0,96.0,500.0,,0.808,0.192,,-0.0039840637450199,,,,,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AT&T Nederland,2021,AT&T Nederland,,,,0.0,394.0,105.0,499.0,0.0,0.7895791583166333,0.2104208416833667,,-0.002,,,,,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AT&T Nederland,2022,AT&T Nederland,,,,0.0,376.0,115.0,491.0,0.0,0.7657841140529531,0.2342158859470468,,-0.0160320641282565,,,,,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AT&T Nederland,2023,AT&T Nederland,,,,0.0,358.0,125.0,483.0,0.0,0.7412008281573499,0.2587991718426501,,-0.0162932790224032,,,,,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AT&T Nederland,2024,AT&T Nederland,,,,0.0,343.0,137.0,480.0,0.0,0.7145833333333333,0.2854166666666666,,-0.0062111801242236,,,,,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AVEBE,2014,AVEBE,1484.0,12913.0,14397.0,1129.0,1523.0,1971.0,4623.0,0.2442137140385031,0.3294397577330737,0.4263465282284231,1.745792736935341,,,,12.75199291408326,3.114211550940948,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AVEBE,2015,AVEBE,1568.0,12195.0,13763.0,1088.0,1438.0,2042.0,4568.0,0.2381786339754816,0.3147985989492119,0.4470227670753064,1.8768382352941175,-0.0118970365563486,-0.0363153232949512,-0.0440369521428075,12.649816176470589,3.0129159369527145,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AVEBE,2016,AVEBE,1753.0,12415.0,14168.0,1073.0,1383.0,2079.0,4535.0,0.2366041896361631,0.3049614112458655,0.4584343991179713,1.9375582479030755,-0.0072241681260946,-0.0137867647058823,0.0294267238247474,13.204100652376514,3.1241455347298785,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AVEBE,2017,AVEBE,1793.0,12057.0,13850.0,1070.0,1335.0,2081.0,4486.0,0.2385198395006687,0.2975925100312082,0.463887650468123,1.944859813084112,-0.0108048511576626,-0.0027958993476234,-0.0224449463579898,12.94392523364486,3.087382969237628,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AVEBE,2018,AVEBE,1752.0,12528.0,14280.0,1051.0,1315.0,2096.0,4462.0,0.2355445988346033,0.2947108919766921,0.4697445091887046,1.994291151284491,-0.0053499777084262,-0.0177570093457943,0.0310469314079422,13.587059942911512,3.2003585835948005,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AVEBE,2019,AVEBE,1823.0,12813.0,14636.0,1082.0,1014.0,1968.0,4064.0,0.266240157480315,0.249507874015748,0.484251968503937,1.818853974121996,-0.0891976692066337,0.0294957183634634,0.0249299719887954,13.526802218114602,3.6013779527559056,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AVEBE,2020,AVEBE,3198.0,11407.0,14605.0,1096.0,987.0,2019.0,4102.0,0.2671867381764993,0.2406143344709897,0.492198927352511,1.842153284671533,0.0093503937007874,0.0129390018484287,-0.0021180650450942,13.325729927007298,3.56045831301804,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AVEBE,2021,AVEBE,4046.0,11591.0,15637.0,1072.0,820.0,2029.0,3921.0,0.2733996429482275,0.209130323896965,0.5174700331548074,1.892723880597015,-0.0441248171623598,-0.021897810218978,0.070660732625813,14.586753731343284,3.988013261922979,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AVEBE,2022,AVEBE,4613.0,12307.0,16920.0,1055.0,819.0,2051.0,3925.0,0.2687898089171974,0.2086624203821656,0.522547770700637,1.9440758293838865,0.0010201479214486,-0.0158582089552238,0.0820489863784612,16.03791469194313,4.310828025477707,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AVEBE,2023,AVEBE,4951.0,12990.0,17941.0,1036.0,807.0,2066.0,3909.0,0.2650294192888207,0.2064466615502686,0.5285239191609107,1.994208494208494,-0.0040764331210191,-0.0180094786729857,0.0603427895981087,17.31756756756757,4.589664875927348,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
AVEBE,2024,AVEBE,4228.0,12778.0,17006.0,1014.0,880.0,2088.0,3982.0,0.2546459065796082,0.2209944751381215,0.5243596182822702,2.059171597633136,0.0186748529035558,-0.0212355212355211,-0.0521152667075414,16.77120315581854,4.270718232044199,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
Abbott Nederland,2014,Abbott Nederland,2958.0,19901.0,22859.0,1726.0,1166.0,109.0,3001.0,0.5751416194601799,0.388537154281906,0.036321226257914,0.0631517960602549,,,,13.243916570104288,7.617127624125292,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
Abbott Nederland,2015,Abbott Nederland,3393.0,20082.0,23475.0,1743.0,771.0,106.0,2620.0,0.6652671755725191,0.2942748091603053,0.0404580152671755,0.0608146873207114,-0.1269576807730756,0.0098493626882967,0.0269478104903977,13.46815834767642,8.959923664122137,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
Abbott Nederland,2016,Abbott Nederland,2928.0,23382.0,26310.0,1677.0,924.0,129.0,2730.0,0.6142857142857143,0.3384615384615385,0.0472527472527472,0.0769230769230769,0.0419847328244273,-0.0378657487091221,0.1207667731629393,15.688729874776389,9.637362637362637,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
Abbott Nederland,2017,Abbott Nederland,3257.0,24765.0,28022.0,1610.0,1137.0,161.0,2908.0,0.5536451169188445,0.3909903713892709,0.0553645116918844,0.1,0.0652014652014651,-0.0399522957662492,0.0650703154694032,17.40496894409938,9.63617606602476,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
Abbott Nederland,2018,Abbott Nederland,3017.0,23273.0,26290.0,1687.0,1200.0,182.0,3069.0,0.5496904529162594,0.3910068426197458,0.0593027044639947,0.1078838174273859,0.0553645116918843,0.0478260869565216,-0.0618085789736635,15.583876704208654,8.5663082437276,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
Abbott Nederland,2019,Abbott Nederland,3148.0,25626.0,28773.0,1801.0,1259.0,209.0,3269.0,0.5509330070357907,0.38513306821658,0.0639339247476292,0.116046640755136,0.065167807103291,0.0675755779490219,0.0944465576264739,15.976124375347029,8.801774242887733,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
Abbott Nederland,2020,Abbott Nederland,3358.0,33707.0,37065.0,1890.0,1299.0,251.0,3440.0,0.5494186046511628,0.3776162790697674,0.0729651162790697,0.1328042328042328,0.0523095747935149,0.0494169905607995,0.288186841830883,19.61111111111111,10.77470930232558,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
Abbott Nederland,2021,Abbott Nederland,3594.0,41346.0,44939.0,2009.0,1302.0,283.0,3594.0,0.5589872008903728,0.3622704507512521,0.078742348358375,0.1408661025385764,0.0447674418604651,0.0629629629629628,0.2124376096047484,22.368840219014437,12.503895381190874,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
Abbott Nederland,2022,Abbott Nederland,3744.0,44609.0,48353.0,2073.0,1406.0,311.0,3790.0,0.5469656992084433,0.370976253298153,0.0820580474934036,0.1500241196333815,0.0545353366722314,0.0318566450970632,0.0759696477447207,23.3251326579836,12.758047493403694,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
Abbott Nederland,2023,Abbott Nederland,4285.0,10789.0,15074.0,2076.0,1392.0,353.0,3821.0,0.5433132687778068,0.3643025386024601,0.092384192619733,0.170038535645472,0.0081794195250659,0.0014471780028944,-0.6882509875292122,7.261078998073217,3.9450405652970426,dnb_annual_wide_xlsx,Bedragen in duizenden euro's; deelnemersaantallen zijn personen. Geen net-flow/AUM-correctie.
